FIPS_Code,Unemployed_2019
18115,109
18117,289
18119,363
18121,261
18123,299
18125,197
18127,"3,172"
18129,360
18131,194
18133,559
18135,409
18137,450
18139,234
18141,"4,803"
18143,368
18145,656
18147,328
18149,418
18151,538
18153,347
18155,163
18157,"2,872"
18159,245
18161,114
18163,"2,827"
18165,356
18167,"2,015"
18169,453
18171,122
18173,937
18175,444
18177,"1,070"
18179,383
18181,356
18183,514
19000,"48,011"
19001,101
19003,38
19005,264
19007,216
19009,79
19011,407
19013,"2,267"
19015,361
19017,330
19019,319
19021,252
19023,258
19025,110
19027,217
19029,199
19031,274
19033,657
19035,157
19037,190
19039,144
19041,239
19043,376
19045,869
19047,294
19049,"1,013"
19051,122
19053,99
19055,253
19057,783
19059,296
19061,"1,512"
19063,137
19065,385
19067,320
19069,137
19071,103
19073,132
19075,183
19077,172
19079,200
19081,145
19083,263
19085,185
19087,265
19089,148
19091,139
19093,83
19095,238
19097,353
19099,592
19101,251
19103,"1,784"
19105,346
19107,174
19109,190
19111,644
19113,"3,640"
19115,188
19117,97
19119,119
19121,321
19123,306
19125,400
19127,824
19129,176
19131,119
19133,134
19135,125
19137,135
19139,638
19141,182
19143,69
19145,166
19147,108
19149,340
19151,88
19153,"7,813"
19155,"1,209"
19157,279
19159,72
19161,128
19163,"3,031"
19165,144
19167,403
19169,"1,089"
19171,300
19173,61
19175,206
19177,101
19179,664
19181,735
19183,303
19185,75
19187,617
19189,145
19191,348
19193,"1,546"
19195,120
19197,183
20000,"47,218"
20001,227
20003,137
20005,362
20007,58
20009,422
20011,284
20013,168
20015,"1,051"
20017,42
20019,54
20021,349
20023,32
20025,25
20027,121
20029,122
20031,181
20033,23
20035,546
20037,726
20039,37
20041,313
20043,138
20045,"1,931"
20047,37
20049,43
20051,387
20053,76
20055,480
20057,425
20059,464
20061,490
20063,31
20065,34
20067,91
20069,65
20071,18
20073,102
20075,30
20077,73
20079,498
20081,50
20083,24
20085,207
20087,311
20089,37
20091,"9,401"
20093,47
20095,108
20097,30
20099,398
20101,20
20103,"1,256"
20105,38
20107,265
20109,33
20111,567
20113,383
20115,178
20117,157
20119,49
20121,584
20123,79
20125,604
20127,82
20129,33
20131,147
20133,282
20135,33
20137,59
20139,285
20141,41
20143,81
20145,81
20147,69
20149,351
20151,124
20153,33
20155,951
20157,58
20159,145
20161,996
20163,88
20165,45
20167,96
20169,903
20171,53
20173,"8,735"
20175,294
20177,"3,013"
20179,31
20181,77
20183,50
20185,54
20187,25
20189,66
20191,367
20193,97
20195,40
20197,117
20199,21
20201,77
20203,27
20205,155
20207,68
20209,"3,353"
21000,"85,670"
21001,368
21003,365
21005,432
21007,192
21009,819
21011,278
21013,517
21015,"2,357"
21017,356
21019,970
21021,565
21023,181
21025,250
21027,409
21029,"1,718"
21031,239
21033,263
21035,740
21037,"1,713"
21039,90
21041,203
21043,779
21045,273
21047,"1,331"
21049,653
21051,348
21053,212
21055,177
21057,129
21059,"1,773"
21061,229
21063,161
21065,257
21067,"5,609"
21069,325
21071,680
21073,907
21075,112
21077,158
21079,346
21081,468
21083,697
21085,533
21087,215
21089,850
21091,147
21093,"1,956"
21095,614
21097,365
21099,365
21101,810
21103,293
21105,83
21107,810
21109,254
21111,"15,508"
21113,942
21115,428
21117,"3,033"
21119,295
21121,570
21123,261
21125,"1,165"
21127,349
21129,116
21131,212
21133,447
21135,397
21137,452
21139,201
21141,490
21143,144
21145,"1,393"
21147,272
21149,180
21151,"1,768"
21153,329
21155,360
21157,679
21159,182
21161,393
21163,548
21165,156
21167,450
21169,191
21171,176
21173,599
21175,236
21177,622
21179,"1,022"
21181,141
21183,480
21185,"1,058"
21187,226
21189,76
21191,257
21193,482
21195,"1,106"
21197,259
21199,"1,210"
21201,42
21203,308
21205,531
21207,344
21209,997
21211,849
21213,388
21215,356
21217,522
21219,207
21221,273
21223,164
21225,265
21227,"2,483"
21229,236
21231,413
21233,223
21235,683
21237,135
21239,455
22000,"98,573"
22001,"1,240"
22003,483
22005,"2,601"
22007,522
22009,857
22011,743
22013,316
22015,"2,426"
22017,"5,368"
22019,"4,237"
22021,224
22023,143
22025,211
22027,317
22029,439
22031,636
22033,"9,898"
22035,194
22037,357
22039,683
22041,517
22043,463
22045,"1,471"
22047,809
22049,315
22051,"8,696"
22053,607
22055,"4,823"
22057,"1,838"
22059,280
22061,"1,148"
22063,"2,758"
22065,274
22067,804
22069,962
22071,"8,494"
22073,"3,620"
22075,422
22077,511
22079,"2,714"
22081,186
22083,500
22085,456
22087,955
22089,"1,061"
22091,253
22093,539
22095,"1,067"
22097,"1,948"
22099,"1,103"
22101,"1,133"
22103,"4,891"
22105,"2,938"
22107,113
22109,"2,086"
22111,515
22113,"1,181"
22115,925
22117,960
22119,856
22121,603
22123,376
22125,215
22127,298
23000,"18,990"
23001,"1,485"
23003,"1,254"
23005,"3,560"
23007,497
23009,918
23011,"1,645"
23013,533
23015,447
23017,860
23019,"2,279"
23021,245
23023,406
23025,901
23027,594
23029,570
23031,"2,794"
24000,"113,968"
24001,"1,635"
24003,"9,513"
24005,"16,494"
24009,"1,559"
24011,642
24013,"2,746"
24015,"2,079"
24017,"3,141"
24019,728
24021,"4,237"
24023,680
24025,"4,645"
24027,"5,102"
24029,399
24031,"16,167"
24033,"18,814"
24035,852
24037,"1,869"
24039,552
24041,649
24043,"2,846"
24045,"2,350"
24047,"1,861"
24510,"14,409"
25000,"114,351"
25001,"4,594"
25003,"2,350"
25005,"11,694"
25007,409
25009,"13,186"
25011,"1,142"
25013,"9,693"
25015,"2,536"
25017,"22,134"
25019,332
25021,"10,327"
25023,"8,970"
25025,"12,390"
25027,"14,593"
26000,"201,468"
26001,240
26003,243
26005,"1,914"
26007,613
26009,520
26011,389
26013,198
26015,"1,013"
26017,"2,281"
26019,441
26021,"2,903"
26023,741
26025,"2,506"
26027,"1,027"
26029,587
26031,897
26033,987
26035,702
26037,"1,211"
26039,307
26041,877
26043,508
26045,"1,912"
26047,938
26049,"8,806"
26051,554
26053,298
26055,"1,689"
26057,771
26059,836
26061,768
26063,663
26065,"5,208"
26067,"1,015"
26069,595
26071,277
26073,"1,290"
26075,"2,726"
26077,"4,311"
26079,439
26081,"10,207"
26083,60
26085,232
26087,"2,299"
26089,386
26091,"1,762"
26093,"3,549"
26095,140
26097,468
26099,"19,612"
26101,562
26103,"1,545"
26105,656
26107,839
26109,431
26111,"1,475"
26113,325
26115,"2,884"
26117,"1,130"
26119,245
26121,"3,222"
26123,969
26125,"23,844"
26127,705
26129,525
26131,139
26133,446
26135,205
26137,565
26139,"4,361"
26141,365
26143,568
26145,"4,041"
26147,"3,824"
26149,"1,168"
26151,908
26153,227
26155,"1,396"
26157,"1,190"
26159,"1,573"
26161,"5,555"
26163,"42,009"
26165,656
27000,"97,861"
27001,439
27003,"5,967"
27005,726
27007,"1,016"
27009,838
27011,101
27013,"1,100"
27015,509
27017,779
27019,"1,599"
27021,778
27023,262
27025,"1,111"
27027,"1,075"
27029,361
27031,131
27033,214
27035,"1,368"
27037,"6,840"
27039,394
27041,651
27043,284
27045,374
27047,540
27049,807
27051,143
27053,"19,170"
27055,327
27057,527
27059,849
27061,"1,271"
27063,192
27065,523
27067,838
27069,84
27071,368
27073,130
27075,194
27077,100
27079,716
27081,120
27083,452
27085,699
27087,106
27089,310
27091,370
27093,505
27095,688
27097,891
27099,602
27101,204
27103,520
27105,325
27107,153
27109,"2,236"
27111,"1,282"
27113,389
27115,813
27117,169
27119,644
27121,199
27123,"8,446"
27125,115
27127,275
27129,382
27131,"1,131"
27133,126
27135,296
27137,"3,973"
27139,"2,259"
27141,"1,816"
27143,319
27145,"2,823"
27147,654
27149,143
27151,209
27153,582
27155,63
27157,400
27159,357
27161,339
27163,"3,982"
27165,257
27167,116
27169,804
27171,"2,431"
27173,199
28000,"71,022"
28001,809
28003,782
28005,316
28007,452
28009,194
28011,862
28013,319
28015,224
28017,402
28019,210
28021,335
28023,378
28025,597
28027,652
28029,752
28031,403
28033,"4,213"
28035,"1,759"
28037,196
28039,675
28041,351
28043,490
28045,"1,088"
28047,"4,622"
28049,"5,670"
28051,585
28053,228
28055,45
28057,508
28059,"3,651"
28061,435
28063,323
28065,291
28067,"1,435"
28069,279
28071,"1,256"
28073,"1,348"
28075,"1,701"
28077,326
28079,457
28081,"1,853"
28083,766
28085,842
28087,"1,382"
28089,"2,418"
28091,564
28093,852
28095,867
28097,242
28099,626
28101,484
28103,281
28105,"1,308"
28107,854
28109,"1,282"
28111,299
28113,973
28115,668
28117,566
28119,195
28121,"3,134"
28123,584
28125,138
28127,573
28129,364
28131,431
28133,696
28135,310
28137,702
28139,499
28141,453
28143,279
28145,615
28147,368
28149,"1,251"
28151,"1,301"
28153,469
28155,232
28157,292
28159,460
28161,292
28163,641
29000,"100,885"
29001,400
29003,271
29005,99
29007,357
29009,540
29011,174
29013,316
29015,346
29017,212
29019,"2,345"
29021,"1,350"
29023,838
29025,137
29027,618
29029,844
29031,"1,191"
29033,154
29035,124
29037,"1,651"
29039,214
29041,111
29043,"1,230"
29045,113
29047,"3,915"
29049,323
29051,"1,008"
29053,275
29055,411
29057,111
29059,315
29061,136
29063,147
29065,223
29067,257
29069,633
29071,"1,708"
29073,259
29075,93
29077,"4,057"
29079,153
29081,126
29083,361
29085,160
29087,73
29089,149
29091,667
29093,168
29095,"13,472"
29097,"1,710"
29099,"3,657"
29101,853
29103,51
29105,"1,191"
29107,515
29109,629
29111,157
29113,951
29115,246
29117,186
29119,351
29121,253
29123,185
29125,134
29127,457
29129,58
29131,460
29133,233
29135,214
